#,codigo_canton,nombre_canton,codigo_provincia
1,0,MAR TERRITORIAL,0
2,101,CUENCA,1
3,102,GIRON,1
4,103,GUALACEO,1
5,104,NABON,1
6,105,PAUTE,1
7,106,PUCARA,1
8,107,SAN FERNANDO,1
9,108,SANTA ISABEL,1
10,109,SIGSIG,1
11,110,OÑA,1
12,111,CHORDELEG,1
13,112,EL PAN,1
14,113,SEVILLA DE ORO,1
15,114,GUACHAPALA,1
16,115,CAMILO PONCE ENRIQUEZ,1
17,201,GUARANDA,2
18,202,CHILLANES,2
19,203,CHIMBO,2
20,204,ECHEANDIA,2
21,205,SAN MIGUEL,2
22,206,CALUMA,2
23,207,LAS NAVES,2
24,301,AZOGUES,3
25,302,BIBLIAN,3
26,303,CAÑAR,3
27,304,LA TRONCAL,3
28,305,EL TAMBO,3
29,306,DELEG,3
30,307,SUSCAL,3
31,401,TULCAN,4
32,402,BOLIVAR,4
33,403,ESPEJO,4
34,404,MIRA,4
35,405,MONTUFAR,4
36,406,SAN PEDRO DE HUACA,4
37,501,LATACUNGA,5
38,502,LA MANA,5
39,503,PANGUA,5
40,504,PUJILI,5
41,505,SALCEDO,5
42,506,SAQUISILI,5
43,507,SIGCHOS,5
44,601,RIOBAMBA,6
45,602,ALAUSI,6
46,603,COLTA,6
47,604,CHAMBO,6
48,605,CHUNCHI,6
49,606,GUAMOTE,6
50,607,GUANO,6
51,608,PALLATANGA,6
52,609,PENIPE,6
53,610,CUMANDA,6
54,701,MACHALA,7
55,702,ARENILLAS,7
56,703,ATAHUALPA,7
57,704,BALSAS,7
58,705,CHILLA,7
59,706,EL GUABO,7
60,707,HUAQUILLAS,7
61,708,MARCABELI,7
62,709,PASAJE,7
63,710,PIÑAS,7
64,711,PORTOVELO,7
65,712,SANTA ROSA,7
66,713,ZARUMA,7
67,714,LAS LAJAS,7
68,801,ESMERALDAS,8
69,802,ELOY ALFARO,8
70,803,MUISNE,8
71,804,QUININDE,8
72,805,SAN LORENZO,8
73,806,ATACAMES,8
74,807,RIOVERDE,8
75,808,LA CONCORDIA,8
76,901,GUAYAQUIL,9
77,902,ALFREDO BAQUERIZO MORENO,9
78,903,BALAO,9
79,904,BALZAR,9
80,905,COLIMES,9
81,906,DAULE,9
82,907,DURAN,9
83,908,EMPALME,9
84,909,EL TRIUNFO,9
85,910,MILAGRO,9
86,911,NARANJAL,9
87,912,NARANJITO,9
88,913,PALESTINA,9
89,914,PEDRO CARBO,9
90,916,SAMBORONDON,9
91,918,SANTA LUCIA,9
92,919,SALITRE,9
93,920,SAN JACINTO DE YAGUACHI,9
94,921,PLAYAS,9
95,922,SIMON BOLIVAR,9
96,923,CRNEL. MARCELINO MARIDUEÑA,9
97,924,LOMAS DE SARGENTILLO,9
98,925,NOBOL,9
99,927,GNRAL. ANTONIO ELIZALDE,9
100,928,ISIDRO AYORA,9
101,1001,IBARRA,10
102,1002,ANTONIO ANTE,10
103,1003,COTACACHI,10
104,1004,OTAVALO,10
105,1005,PIMAMPIRO,10
106,1006,SAN MIGUEL DE URCUQUI,10
107,1101,LOJA,11
108,1102,CALVAS,11
109,1103,CATAMAYO,11
110,1104,CELICA,11
111,1105,CHAGUARPAMBA,11
112,1106,ESPINDOLA,11
113,1107,GONZANAMA,11
114,1108,MACARA,11
115,1109,PALTAS,11
116,1110,PUYANGO,11
117,1111,SARAGURO,11
118,1112,SOZORANGA,11
119,1113,ZAPOTILLO,11
120,1114,PINDAL,11
121,1115,QUILANGA,11
122,1116,OLMEDO,11
123,1201,BABAHOYO,12
124,1202,BABA,12
125,1203,MONTALVO,12
126,1204,PUEBLOVIEJO,12
127,1205,QUEVEDO,12
128,1206,URDANETA,12
129,1207,VENTANAS,12
130,1208,VINCES,12
131,1209,PALENQUE,12
132,1210,BUENA FE,12
133,1211,VALENCIA,12
134,1212,MOCACHE,12
135,1213,QUINSALOMA,12
136,1301,PORTOVIEJO,13
137,1302,BOLIVAR,13
138,1303,CHONE,13
139,1304,EL CARMEN,13
140,1305,FLAVIO ALFARO,13
141,1306,JIPIJAPA,13
142,1307,JUNIN,13
143,1308,MANTA,13
144,1309,MONTECRISTI,13
145,1310,PAJAN,13
146,1311,PICHINCHA,13
147,1312,ROCAFUERTE,13
148,1313,SANTA ANA,13
149,1314,SUCRE,13
150,1315,TOSAGUA,13
151,1316,24 DE MAYO,13
152,1317,PEDERNALES,13
153,1318,OLMEDO,13
154,1319,PUERTO LOPEZ,13
155,1320,JAMA,13
156,1321,JARAMIJO,13
157,1322,SAN VICENTE,13
158,1401,MORONA,14
159,1402,GUALAQUIZA,14
160,1403,LIMON INDANZA,14
161,1404,PALORA,14
162,1405,SANTIAGO,14
163,1406,SUCUA,14
164,1407,HUAMBOYA,14
165,1408,SAN JUAN BOSCO,14
166,1409,TAISHA,14
167,1410,LOGROÐO,14
168,1411,PABLO SEXTO,14
169,1412,TIWINTZA,14
170,1501,TENA,15
171,1503,ARCHIDONA,15
172,1504,EL CHACO,15
173,1507,QUIJOS,15
174,1509,CARLOS JULIO AROSEMENA TOLA,15
175,1601,PASTAZA,16
176,1602,MERA,16
177,1603,SANTA CLARA,16
178,1604,ARAJUNO,16
179,1701,QUITO,17
180,1702,CAYAMBE,17
181,1703,MEJIA,17
182,1704,PEDRO MONCAYO,17
183,1705,RUMIÐAHUI,17
184,1707,SAN MIGUEL DE LOS BANCOS,17
185,1708,PEDRO VICENTE MALDONADO,17
186,1709,PUERTO QUITO,17
187,1801,AMBATO,18
188,1802,BAÑOS DE AGUA SANTA,18
189,1803,CEVALLOS,18
190,1804,MOCHA,18
191,1805,PATATE,18
192,1806,QUERO,18
193,1807,SAN PEDRO DE PELILEO,18
194,1808,SANTIAGO DE PILLARO,18
195,1809,TISALEO,18
196,1901,ZAMORA,19
197,1902,CHINCHIPE,19
198,1903,NANGARITZA,19
199,1904,YACUAMBI,19
200,1905,YANTZAZA,19
201,1906,EL PANGUI,19
202,1907,CENTINELA DEL CONDOR,19
203,1908,PALANDA,19
204,1909,PAQUISHA,19
205,2001,SAN CRISTOBAL,20
206,2002,ISABELA,20
207,2003,SANTA CRUZ,20
208,2101,LAGO AGRIO,21
209,2102,GONZALO PIZARRO,21
210,2103,PUTUMAYO,21
211,2104,SHUSHUFINDI,21
212,2105,SUCUMBIOS,21
213,2106,CASCALES,21
214,2107,CUYABENO,21
215,2201,ORELLANA,22
216,2202,AGUARICO,22
217,2203,LA JOYA DE LOS SACHAS,22
218,2204,LORETO,22
219,2301,SANTO DOMINGO,23
220,2401,SANTA ELENA,24
221,2402,LA LIBERTAD,24
222,2403,SALINAS,24
223,9004,EL PIEDRERO,90
