#,codigo_parroquia,nombre_parroquia,codigo_canton
1,0,EL GOALTAL,403
2,10150,CUENCA,101
3,10151,BAÑOS,101
4,10152,CUMBE,101
5,10154,CHECA (JIDCAY),101
6,10155,CHIQUINTAD,101
7,10156,LLACAO,101
8,10157,MOLLETURO,101
9,10158,NULTI,101
10,10159,OCTAVIO CORDERO PALACIOS (STA. ROSA,101
11,10160,PACCHA,101
12,10161,QUINGEO,101
13,10162,RICAURTE,101
14,10163,SAN JOAQUIN,101
15,10164,SANTA ANA,101
16,10165,SAYAUSI,101
17,10166,SIDCAY,101
18,10167,SININCAY,101
19,10168,TARQUI,101
20,10169,TURI,101
21,10170,VALLE,101
22,10171,VICTORIA DEL PORTETE (IRQUIS),101
23,10250,GIRON,102
24,10251,ASUNCION,102
25,10350,GUALACEO,103
26,10353,JADAN,103
27,10354,MARIANO MORENO,103
28,10356,REMIGIO CRESPO TORAL (GULAG),103
29,10357,SAN JUAN,103
30,10358,ZHIDMAD,103
31,10359,LUIS CORDERO VEGA,103
32,10360,SIMON BOLIVAR (CAB. EN GAÑANZOL),103
33,10450,NABON,104
34,10451,COCHAPATA,104
35,10452,EL PROGRESO (CAB. EN ZHOTA),104
36,10453,LAS NIEVES (CHAYA),104
37,10550,PAUTE,105
38,10553,CHICAN (GUILLERMO ORTEGA),105
39,10554,EL CABO,105
40,10556,GUARAINAG,105
41,10559,SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO),105
42,10561,TOMEBAMBA,105
43,10562,DUG DUG,105
44,10650,PUCARA,106
45,10652,SAN RAFAEL DE SHARUG,106
46,10750,SAN FERNANDO,107
47,10751,CHUMBLIN,107
48,10850,SANTA ISABEL (CHAGUARURCO),108
49,10851,ABDON CALDERON (LA UNION),108
50,10854,SAN SALVADOR DE CAÑARIBAMBA,108
51,10950,SIGSIG,109
52,10951,CUCHIL (CUTCHIL),109
53,10952,GIMA,109
54,10954,LUDO,109
55,10955,SAN BARTOLOME,109
56,10956,SAN JOSE DE RARANGA,109
57,11050,SAN FELIPE DE OÑA,110
58,11051,SUSUDEL,110
59,11150,CHORDELEG,111
60,11151,PRINCIPAL,111
61,11152,LA UNION,111
62,11250,EL PAN,112
63,11350,SEVILLA DE ORO,113
64,11351,AMALUZA,113
65,11450,GUACHAPALA,114
66,11550,CAMILO PONCE ENRIQUEZ,115
67,11551,EL CARMEN DE PIJILI,115
68,20150,GUARANDA,201
69,20151,FACUNDO VELA,201
70,20153,JULIO E. MORENO (CATANAHUAN GRANDE),201
71,20155,SALINAS,201
72,20156,SAN LORENZO,201
73,20157,SAN SIMON (YACOTO),201
74,20158,SANTA FE (SANTA FE),201
75,20159,SIMIATUG,201
76,20160,SAN LUIS DE PAMBIL,201
77,20250,CHILLANES,202
78,20251,SAN JOSE DEL TAMBO (TAMBOPAMBA),202
79,20350,SAN JOSE DE CHIMBO,203
80,20351,ASUNCION (ASANCOTO),203
81,20353,MAGDALENA (CHAPACOTO),203
82,20354,SAN SEBASTIAN,203
83,20355,TELIMBELA,203
84,20450,ECHEANDIA,204
85,20550,SAN MIGUEL,205
86,20551,BALSAPAMBA,205
87,20552,BILOVAN,205
88,20553,REGULO DE MORA,205
89,20554,SAN PABLO (SAN PABLO DE ATENAS),205
90,20555,SANTIAGO,205
91,20650,CALUMA,206
92,20750,LAS NAVES,207
93,30150,AZOGUES,301
94,30151,COJITAMBO,301
95,30153,GUAPAN,301
96,30154,JAVIER LOYOLA (CHUQUIPATA),301
97,30155,LUIS CORDERO,301
98,30158,SAN MIGUEL,301
99,30160,TADAY,301
100,30250,BIBLIAN,302
101,30251,NAZON (CAB. EN PAMPA DE DOMINGUEZ),302
102,30252,SAN FRANCISCO DE SAGEO,302
103,30253,TURUPAMBA,302
104,30254,JERUSALEN,302
105,30350,CAÑAR,303
106,30352,CHOROCOPTE,303
107,30353,GENERAL MORALES (SOCARTE),303
108,30354,GUALLETURO,303
109,30355,HONORATO VASQUEZ (TAMBO VIEJO),303
110,30356,INGAPIRCA,303
111,30357,JUNCAL,303
112,30358,SAN ANTONIO,303
113,30361,ZHUD,303
114,30363,DUCUR,303
115,30450,LA TRONCAL,304
116,30451,MANUEL J. CALLE,304
117,30452,PANCHO NEGRO,304
118,30550,EL TAMBO,305
119,30650,DELEG,306
120,30651,SOLANO,306
121,30750,SUSCAL,307
122,40150,TULCAN,401
123,40151,EL CARMELO (EL PUN),401
124,40153,JULIO ANDRADE (OREJUELA),401
125,40156,TOBAR DONOSO (LA BOCANA DE CAMUMBI),401
126,40157,TUFIÑO,401
127,40158,URBINA (TAYA),401
128,40159,EL CHICAL,401
129,40161,SANTA MARTHA DE CUBA,401
130,40250,BOLIVAR,402
131,40251,GARCIA MORENO,402
132,40252,LOS ANDES,402
133,40253,MONTE OLIVO,402
134,40255,SAN RAFAEL,402
135,40350,EL ANGEL,403
136,40352,LA LIBERTAD (ALIZO),403
137,40353,SAN ISIDRO,403
138,40450,MIRA (CHONTAHUASI),404
139,40451,CONCEPCION,404
140,40452,JIJON Y CAAMAÑO (CAB. EN RIO BLANCO,404
141,40453,JUAN MONTALVO (SAN IGNACIO DE QUIL),404
142,40550,SAN GABRIEL,405
143,40551,CRISTOBAL COLON,405
144,40552,CHITAN DE NAVARRETE,405
145,40553,FERNANDEZ SALVADOR,405
146,40554,LA PAZ,405
147,40650,HUACA,406
148,40651,MARISCAL SUCRE,406
149,50150,LATACUNGA,501
150,50151,ALAQUES (ALAQUEZ),501
151,50152,BELISARIO QUEVEDO (GUANAILIN),501
152,50153,GUAITACAMA (GUAYTACAMA),501
153,50154,JOSEGUANGO BAJO,501
154,50156,MULALO,501
155,50157,11 DE NOVIEMBRE (ILINCHISI),501
156,50158,POALO,501
157,50159,SAN JUAN DE PASTOCALLE,501
158,50161,TANICUCHI,501
159,50162,TOACASO,501
160,50250,LA MANA,502
161,50251,GUASAGANDA (CAB. EN GUASAGANDA CENT,502
162,50252,PUCAYACU,502
163,50350,EL CORAZON,503
164,50351,MORASPUNGO,503
165,50352,PINLLOPATA,503
166,50450,PUJILI,504
167,50455,LA VICTORIA,504
168,50456,PILALO,504
169,50457,TINGO,504
170,50458,ZUMBAHUA,504
171,50550,SAN MIGUEL,505
172,50551,ANTONIO JOSE HOLGUIN (SANTA LUCIA),505
173,50552,CUSUBAMBA,505
174,50553,MULALILLO,505
175,50554,MULLIQUINDIL (SANTA ANA),505
176,50555,PANSALEO,505
177,50650,SAQUISILI,506
178,50651,CANCHAGUA,506
179,50652,CHANTILIN,506
180,50653,COCHAPAMBA,506
181,50750,SIGCHOS,507
182,50751,CHUGCHILLAN,507
183,50752,ISINLIVI,507
184,60150,RIOBAMBA,601
185,60152,CALPI,601
186,60153,CUBIJIES,601
187,60155,LICAN,601
188,60156,LICTO,601
189,60157,PUNGALA,601
190,60158,PUNIN,601
191,60159,QUIMIAG,601
192,60160,SAN JUAN,601
193,60161,SAN LUIS,601
194,60250,ALAUSI,602
195,60251,ACHUPALLAS,602
196,60253,GUASUNTOS,602
197,60254,HUIGRA,602
198,60255,MULTITUD,602
199,60258,SEVILLA,602
200,60259,SIBAMBE,602
201,60350,VILLA LA UNION (CAJABAMBA),603
202,60352,COLUMBE,603
203,60353,JUAN DE VELASCO (PANGOR),603
204,60354,SANTIAGO DE QUITO (CAB. EN SAN ANTO,603
205,60450,CHAMBO,604
206,60550,CHUNCHI,605
207,60552,COMPUD,605
208,60554,LLAGOS,605
209,60650,GUAMOTE,606
210,60651,CEBADAS,606
211,60652,PALMIRA,606
212,60750,GUANO,607
213,60751,GUANANDO,607
214,60752,ILAPO,607
215,60753,LA PROVIDENCIA,607
216,60754,SAN ANDRES,607
217,60755,SAN GERARDO DE PACAICAGUAN,607
218,60756,SAN ISIDRO DE PATULU,607
219,60758,SANTA FE DE GALAN,607
220,60850,PALLATANGA,608
221,60950,PENIPE,609
222,60952,MATUS,609
223,60954,SAN ANTONIO DE BAYUSHIG,609
224,61050,CUMANDA,610
225,70150,MACHALA,701
226,70152,EL RETIRO,701
227,70250,ARENILLAS,702
228,70251,CHACRAS,702
229,70254,PALMALES,702
230,70255,CARCABON,702
231,70350,PACCHA,703
232,70351,AYAPAMBA,703
233,70352,CORDONCILLO,703
234,70353,MILAGRO,703
235,70355,SAN JUAN DE CERRO AZUL,703
236,70450,BALSAS,704
237,70451,BELLAMARIA,704
238,70550,CHILLA,705
239,70650,EL GUABO,706
240,70651,BARBONES (SUCRE),706
241,70652,LA IBERIA,706
242,70653,TENDALES (CAB. EN PUERTO TENDALES),706
243,70654,RIO BONITO,706
244,70750,HUAQUILLAS,707
245,70850,MARCABELI,708
246,70851,EL INGENIO,708
247,70950,PASAJE,709
248,70951,BUENAVISTA,709
249,70952,CASACAY,709
250,70953,LA PEAÑA,709
251,70954,PROGRESO,709
252,70955,UZHCURRUMI,709
253,70956,CAÑAQUEMADA,709
254,71050,PIÑAS,710
255,71052,LA BOCANA,710
256,71054,PIEDRAS,710
257,71055,SAN ROQUE (AMBROSIO MALDONADO),710
258,71056,SARACAY,710
259,71150,PORTOVELO,711
260,71151,CURTINCAPA,711
261,71152,MORALES,711
262,71250,SANTA ROSA,712
263,71251,BELLAVISTA,712
264,71252,JAMBELI,712
265,71253,LA AVANZADA,712
266,71254,SAN ANTONIO,712
267,71255,TORATA,712
268,71256,VICTORIA,712
269,71257,BELLAMARIA,712
270,71350,ZARUMA,713
271,71352,ARCAPAMBA,713
272,71353,GUANAZAN,713
273,71354,GUIZHAGUIÑA,713
274,71355,HUERTAS,713
275,71356,MALVAS,713
276,71357,MULUNCAY GRANDE,713
277,71358,SINSAO,713
278,71450,LA VICTORIA,714
279,71452,EL PARAISO,714
280,71453,SAN ISIDRO,714
281,80150,ESMERALDAS,801
282,80152,CAMARONES (CAB. EN SAN VICENTE),801
283,80154,CHINCA,801
284,80159,MAJUA,801
285,80163,SAN MATEO,801
286,80165,TABIAZO,801
287,80166,TACHINA,801
288,80168,VUELTA LARGA,801
289,80250,VALDEZ (LIMONES),802
290,80253,BORBON,802
291,80254,LA TOLA,802
292,80255,LUIS VARGAS TORRES (CAB. EN PLAYA D,802
293,80256,MALDONADO,802
294,80257,PAMPANAL DE BOLIVAR,802
295,80258,SAN FRANCISCO DE ONZOLE,802
296,80259,SANTO DOMINGO DE ONZOLE,802
297,80260,SELVA ALEGRE,802
298,80261,TELEMBI,802
299,80262,COLON ELOY DEL MARIA,802
300,80265,SANTA LUCIA DE LAS PEÑAS,802
301,80350,MUISNE,803
302,80352,DAULE,803
303,80354,QUINGUE (OLMEDO PERDOMO FRANCO),803
304,80355,SALIMA,803
305,80356,SAN FRANCISCO,803
306,80357,SAN GREGORIO,803
307,80358,SAN JOSE DE CHAMANGA,803
308,80450,ROSA ZARATE (QUININDE),804
309,80451,CUBE,804
310,80452,CHURA (CHANCAMA) (CAB. EN EL YERBER,804
311,80453,MALIMPIA,804
312,80454,VICHE,804
313,80455,LA UNION,804
314,80550,SAN LORENZO,805
315,80551,ALTO TAMBO (CAB EN GUADUAL),805
316,80552,ANCON (PICHANGAL) (CAB. EN PALMA RE,805
317,80553,CALDERON,805
318,80554,CARONDELET,805
319,80556,CONCEPCION,805
320,80557,MATAJE (CAB. EN SANTANDER),805
321,80559,SANTA RITA,805
322,80560,TAMBILLO,805
323,80561,TULULBI (CAB. EN RICAURTE),805
324,80562,URBINA,805
325,80650,ATACAMES,806
326,80651,LA UNION,806
327,80652,SUA (CAB. EN LA BOCANA),806
328,80653,TONCHIGUE,806
329,80654,TONSUPA,806
330,80750,RIOVERDE,807
331,80751,CHONTADURO,807
332,80752,CHUMUNDE,807
333,80753,LAGARTO,807
334,80754,MONTALVO (CAB EN HORQUETA),807
335,80755,ROCAFUERTE,807
336,80850,LA CONCORDIA,808
337,80851,MONTERREY,808
338,80852,LA VILLEGAS,808
339,80853,PLAN PILOTO,808
340,90150,GUAYAQUIL,901
341,90152,JUAN GOMEZ RENDON (PROGRESO),901
342,90153,MORRO,901
343,90156,POSORJA,901
344,90157,PUNA,901
345,90158,TENGUEL,901
346,90250,ALFREDO BAQUERIZO MORENO (JUJAN),902
347,90350,BALAO,903
348,90450,BALZAR,904
349,90550,COLIMES,905
350,90551,SAN JACINTO,905
351,90650,DAULE,906
352,90652,JUAN BAUTISTA AGUIRRE (LOS TINTOS),906
353,90653,LAUREL,906
354,90654,LIMONAL,906
355,90656,LOS LOJAS (ENRIQUE BAQUERIZO MORENO,906
356,90750,ELOY ALFARO (DURAN),907
357,90850,VELASCO IBARRA (CAB. EL EMPALME),908
358,90851,GUAYAS (PUEBLO NUEVO),908
359,90852,EL ROSARIO,908
360,90950,EL TRIUNFO,909
361,91050,MILAGRO,910
362,91051,CHOBO,910
363,91053,MARISCAL SUCRE (HUAQUES),910
364,91054,ROBERTO ASTUDILLO (CAB. EN CRUCE DE,910
365,91150,NARANJAL,911
366,91151,JESUS MARIA,911
367,91152,SAN CARLOS,911
368,91153,SANTA ROSA DE FLANDES,911
369,91154,TAURA,911
370,91250,NARANJITO,912
371,91350,PALESTINA,913
372,91450,PEDRO CARBO,914
373,91451,VALLE DE LA VIRGEN,914
374,91452,SABANILLA,914
375,91650,SAMBORONDON,916
376,91651,TARIFA,916
377,91850,SANTA LUCIA,918
378,91950,EL SALITRE (LAS RAMAS),919
379,91951,GRAL. VERNAZA (DOS ESTEROS),919
380,91952,LA VICTORIA (ÑAUZA),919
381,91953,JUNQUILLAL,919
382,92050,SAN JACINTO DE YAGUACHI,920
383,92053,GRAL. PEDRO J. MONTERO (BOLICHE),920
384,92055,YAGUACHI VIEJO (CONE),920
385,92056,VIRGEN DE FATIMA,920
386,92150,GENERAL VILLAMIL (PLAYAS),921
387,92250,SIMON BOLIVAR,922
388,92251,CRNEL. LORENZO DE GARAICOA (PEDREGA,922
389,92350,CORONEL MARCELINO MARIDUEÑA (SAN CA,923
390,92450,LOMAS DE SARGENTILLO,924
391,92550,NARCISA DE JESUS,925
392,92750,GRAL. ANTONIO ELIZALDE (BUCAY),927
393,92850,ISIDRO AYORA,928
394,100150,SAN MIGUEL DE IBARRA,1001
395,100151,AMBUQUI,1001
396,100152,ANGOCHAGUA,1001
397,100153,CAROLINA,1001
398,100154,LA ESPERANZA,1001
399,100155,LITA,1001
400,100156,SALINAS,1001
401,100157,SAN ANTONIO,1001
402,100250,ATUNTAQUI,1002
403,100251,IMBAYA (SAN LUIS DE COBUENDO),1002
404,100252,SAN FCO. DE NATABUELA,1002
405,100253,SAN JOSE DE CHALTURA,1002
406,100254,SAN ROQUE,1002
407,100350,COTACACHI,1003
408,100351,APUELA,1003
409,100352,GARCIA MORENO (LLURIMAGUA),1003
410,100353,IMANTAG,1003
411,100355,PLAZA GUTIERREZ (CALVARIO),1003
412,100356,QUIROGA,1003
413,100450,OTAVALO,1004
414,100451,DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE,1004
415,100452,EUGENIO ESPEJO (CALPAQUI),1004
416,100453,GONZALEZ SUAREZ,1004
417,100455,SAN JOSE DE QUICHINCHE,1004
418,100456,SAN JUAN DE ILUMAN,1004
419,100457,SAN PABLO,1004
420,100458,SAN RAFAEL,1004
421,100550,PIMAMPIRO,1005
422,100551,CHUGA,1005
423,100553,SAN  FCO. DE SIGSIPAMBA,1005
424,100650,URCUQUI,1006
425,100651,CAHUASQUI,1006
426,100652,LA MERCED DE BUENOS AIRES,1006
427,100653,PABLO ARENAS,1006
428,100654,SAN BLAS,1006
429,100655,TUMBABIRO,1006
430,110150,LOJA,1101
431,110151,CHANTACO,1101
432,110152,CHUQUIRIBAMBA,1101
433,110153,EL CISNE,1101
434,110154,GUALEL,1101
435,110156,MALACATOS (VALLADOLID),1101
436,110157,SAN LUCAS,1101
437,110158,SAN PEDRO DE VILCABAMBA,1101
438,110159,SANTIAGO,1101
439,110160,TAQUIL (MIGUEL RIOFRIO),1101
440,110161,VILCABAMBA (VICTORIA),1101
441,110162,YANGANA (ARSENIO CASTILLO),1101
442,110163,QUINARA,1101
443,110250,CARIAMANGA,1102
444,110251,COLAISACA,1102
445,110252,EL LUCERO,1102
446,110254,SANGUILLIN,1102
447,110350,CATAMAYO (LA TOMA),1103
448,110351,EL TAMBO,1103
449,110353,SAN PEDRO DE LA BENDITA,1103
450,110354,ZAMBI,1103
451,110450,CELICA,1104
452,110451,CRUZPAMBA (CAB EN CARLOS BUSTAMANTE,1104
453,110455,POZUL (SAN JUAN DE POZUL),1104
454,110456,SABANILLA,1104
455,110550,CHAGUARPAMBA,1105
456,110551,BUENAVISTA,1105
457,110554,"AMARILLOS, BUENAVISTA, SANTA RUFINA",1105
458,110650,AMALUZA,1106
459,110651,BELLAVISTA,1106
460,110652,JIMBURA,1106
461,110653,SANTA TERESITA,1106
462,110750,GONZANAMA,1107
463,110751,CHANGAIMINA (LA LIBERTAD),1107
464,110753,NAMBACOLA,1107
465,110754,PURUNUMA (EGUIGUREN),1107
466,110756,SACAPALCA,1107
467,110850,MACARA,1108
468,110851,LARAMA,1108
469,110852,LA VICTORIA,1108
470,110853,SABIANGO (LA CAPILLA),1108
